timestamp, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
2025/02/07 19:04:26.329, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:04:31.330, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:04:36.331, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:04:41.331, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:04:46.332, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:04:51.333, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:04:56.333, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:05:01.334, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:05:06.335, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:05:11.335, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:05:16.336, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:05:21.337, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:05:26.337, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:05:31.338, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:05:36.339, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:05:41.339, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:05:46.340, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:05:51.341, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:05:56.341, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:06:01.342, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:06:06.343, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:06:11.343, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:06:16.344, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:06:21.344, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:06:26.345, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:06:31.346, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:06:36.346, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:06:41.347, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:06:46.348, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:06:51.348, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:06:56.349, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:07:01.350, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:07:06.350, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:07:11.351, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:07:16.351, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:07:21.352, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:07:26.353, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
